Country,Date,Type,Number of Cases,Cumulative Cases
Afghanistan,2020-3-23,Deaths,0,1
Afghanistan,2020-3-23,Recovered,0,1
Afghanistan,2020-3-24,Confirmed,34,74
Afghanistan,2020-3-24,Deaths,0,1
Afghanistan,2020-3-24,Recovered,0,1
Afghanistan,2020-3-25,Confirmed,10,84
Afghanistan,2020-3-25,Deaths,1,2
Afghanistan,2020-3-25,Recovered,1,2
Afghanistan,2020-3-26,Confirmed,10,94
Afghanistan,2020-3-26,Deaths,2,4
Afghanistan,2020-3-26,Recovered,0,2
Afghanistan,2020-3-27,Confirmed,16,110
Afghanistan,2020-3-27,Deaths,0,4
Afghanistan,2020-3-27,Recovered,0,2
Afghanistan,2020-3-28,Confirmed,0,110
Afghanistan,2020-3-28,Deaths,0,4
Afghanistan,2020-3-28,Recovered,0,2
Afghanistan,2020-3-29,Confirmed,10,120
Afghanistan,2020-3-29,Deaths,0,4
Afghanistan,2020-3-29,Recovered,0,2
Afghanistan,2020-3-30,Confirmed,50,170
Afghanistan,2020-3-30,Deaths,0,4
Afghanistan,2020-3-30,Recovered,0,2
Afghanistan,2020-3-31,Confirmed,4,174
Afghanistan,2020-3-31,Deaths,0,4
Afghanistan,2020-3-31,Recovered,3,5
Afghanistan,2020-4-1,Confirmed,63,237
Afghanistan,2020-4-1,Deaths,0,4
Afghanistan,2020-4-1,Recovered,0,5
Afghanistan,2020-4-2,Confirmed,36,273
Afghanistan,2020-4-2,Deaths,2,6
Afghanistan,2020-4-2,Recovered,5,10
Afghanistan,2020-4-3,Confirmed,8,281
Afghanistan,2020-4-3,Deaths,0,6
Afghanistan,2020-4-3,Recovered,0,10
Afghanistan,2020-4-4,Confirmed,18,299
Afghanistan,2020-4-4,Deaths,1,7
Afghanistan,2020-4-4,Recovered,0,10
Afghanistan,2020-4-5,Confirmed,50,349
Afghanistan,2020-4-5,Deaths,0,7
Afghanistan,2020-4-5,Recovered,5,15
Afghanistan,2020-4-6,Confirmed,18,367
Afghanistan,2020-4-6,Deaths,4,11
Afghanistan,2020-4-6,Recovered,3,18
Afghanistan,2020-4-7,Confirmed,56,423
Afghanistan,2020-4-7,Deaths,3,14
Afghanistan,2020-4-7,Recovered,0,18
Afghanistan,2020-4-8,Confirmed,21,444
Afghanistan,2020-4-8,Deaths,0,14
Afghanistan,2020-4-8,Recovered,11,29
Afghanistan,2020-4-9,Confirmed,40,484
Afghanistan,2020-4-9,Deaths,1,15
Afghanistan,2020-4-9,Recovered,3,32
Afghanistan,2020-4-10,Confirmed,37,521
Afghanistan,2020-4-10,Deaths,0,15
Afghanistan,2020-4-10,Recovered,0,32
Afghanistan,2020-4-11,Confirmed,34,555
Afghanistan,2020-4-11,Deaths,3,18
Afghanistan,2020-4-11,Recovered,0,32
Afghanistan,2020-4-12,Confirmed,52,607
Afghanistan,2020-4-12,Deaths,0,18
Afghanistan,2020-4-12,Recovered,0,32
Afghanistan,2020-4-13,Confirmed,58,665
Afghanistan,2020-4-13,Deaths,3,21
Afghanistan,2020-4-13,Recovered,0,32
Afghanistan,2020-4-14,Confirmed,49,714
Afghanistan,2020-4-14,Deaths,2,23
Afghanistan,2020-4-14,Recovered,8,40
Albania,2020-1-22,Confirmed,0,0
Albania,2020-1-22,Deaths,0,0
Albania,2020-1-22,Recovered,0,0
Albania,2020-1-23,Confirmed,0,0
Albania,2020-1-23,Deaths,0,0
Albania,2020-1-23,Recovered,0,0
Albania,2020-1-24,Confirmed,0,0
Albania,2020-1-24,Deaths,0,0
Albania,2020-1-24,Recovered,0,0
Albania,2020-1-25,Confirmed,0,0
Albania,2020-1-25,Deaths,0,0
Albania,2020-1-25,Recovered,0,0
Albania,2020-1-26,Confirmed,0,0
Albania,2020-1-26,Deaths,0,0
Albania,2020-1-26,Recovered,0,0
Albania,2020-1-27,Confirmed,0,0
Albania,2020-1-27,Deaths,0,0
Albania,2020-1-27,Recovered,0,0
Albania,2020-1-28,Confirmed,0,0
Albania,2020-1-28,Deaths,0,0
Albania,2020-1-28,Recovered,0,0
Albania,2020-1-29,Confirmed,0,0
Albania,2020-1-29,Deaths,0,0
Albania,2020-1-29,Recovered,0,0
Albania,2020-1-30,Confirmed,0,0
Albania,2020-1-30,Deaths,0,0
Albania,2020-1-30,Recovered,0,0
Albania,2020-1-31,Confirmed,0,0
Albania,2020-1-31,Deaths,0,0
Albania,2020-1-31,Recovered,0,0
Albania,2020-2-1,Confirmed,0,0
Albania,2020-2-1,Deaths,0,0
Albania,2020-2-1,Recovered,0,0
Albania,2020-2-2,Confirmed,0,0
Albania,2020-2-2,Deaths,0,0
Albania,2020-2-2,Recovered,0,0
Albania,2020-2-3,Confirmed,0,0
Albania,2020-2-3,Deaths,0,0
Albania,2020-2-3,Recovered,0,0
Albania,2020-2-4,Confirmed,0,0
Albania,2020-2-4,Deaths,0,0
Albania,2020-2-4,Recovered,0,0
Albania,2020-2-5,Confirmed,0,0
Albania,2020-2-5,Deaths,0,0
Albania,2020-2-5,Recovered,0,0
Albania,2020-2-6,Confirmed,0,0
Albania,2020-2-6,Deaths,0,0
Albania,2020-2-6,Recovered,0,0
Albania,2020-2-7,Confirmed,0,0
Albania,2020-2-7,Deaths,0,0
Albania,2020-2-7,Recovered,0,0
Albania,2020-2-8,Confirmed,0,0
Albania,2020-2-8,Deaths,0,0
Albania,2020-2-8,Recovered,0,0
Albania,2020-2-9,Confirmed,0,0
Albania,2020-2-9,Deaths,0,0
Albania,2020-2-9,Recovered,0,0
Albania,2020-2-10,Confirmed,0,0
Albania,2020-2-10,Deaths,0,0
Albania,2020-2-10,Recovered,0,0
Albania,2020-2-11,Confirmed,0,0
Albania,2020-2-11,Deaths,0,0
Albania,2020-2-11,Recovered,0,0
Albania,2020-2-12,Confirmed,0,0
Albania,2020-2-12,Deaths,0,0
Albania,2020-2-12,Recovered,0,0
Albania,2020-2-13,Confirmed,0,0
Albania,2020-2-13,Deaths,0,0
Albania,2020-2-13,Recovered,0,0
Albania,2020-2-14,Confirmed,0,0
Albania,2020-2-14,Deaths,0,0
Albania,2020-2-14,Recovered,0,0
Albania,2020-2-15,Confirmed,0,0
Albania,2020-2-15,Deaths,0,0
Albania,2020-2-15,Recovered,0,0
Albania,2020-2-16,Confirmed,0,0
Albania,2020-2-16,Deaths,0,0
Albania,2020-2-16,Recovered,0,0
Albania,2020-2-17,Confirmed,0,0
Albania,2020-2-17,Deaths,0,0
Albania,2020-2-17,Recovered,0,0
Albania,2020-2-18,Confirmed,0,0
Albania,2020-2-18,Deaths,0,0
Albania,2020-2-18,Recovered,0,0
Albania,2020-2-19,Confirmed,0,0
Albania,2020-2-19,Deaths,0,0
Albania,2020-2-19,Recovered,0,0
Albania,2020-2-20,Confirmed,0,0
Albania,2020-2-20,Deaths,0,0
Albania,2020-2-20,Recovered,0,0
Albania,2020-2-21,Confirmed,0,0
Albania,2020-2-21,Deaths,0,0
Albania,2020-2-21,Recovered,0,0
Albania,2020-2-22,Confirmed,0,0
Albania,2020-2-22,Deaths,0,0
Albania,2020-2-22,Recovered,0,0
Albania,2020-2-23,Confirmed,0,0
Albania,2020-2-23,Deaths,0,0
Albania,2020-2-23,Recovered,0,0
Albania,2020-2-24,Confirmed,0,0
Albania,2020-2-24,Deaths,0,0
Albania,2020-2-24,Recovered,0,0
Albania,2020-2-25,Confirmed,0,0
Albania,2020-2-25,Deaths,0,0
Albania,2020-2-25,Recovered,0,0
Albania,2020-2-26,Confirmed,0,0
Albania,2020-2-26,Deaths,0,0
Albania,2020-2-26,Recovered,0,0
Albania,2020-2-27,Confirmed,0,0
Albania,2020-2-27,Deaths,0,0
Albania,2020-2-27,Recovered,0,0
Albania,2020-2-28,Confirmed,0,0
Albania,2020-2-28,Deaths,0,0
Albania,2020-2-28,Recovered,0,0
Albania,2020-2-29,Confirmed,0,0
Albania,2020-2-29,Deaths,0,0
Albania,2020-2-29,Recovered,0,0
Albania,2020-3-1,Confirmed,0,0
Albania,2020-3-1,Deaths,0,0
Albania,2020-3-1,Recovered,0,0
Albania,2020-3-2,Confirmed,0,0
Albania,2020-3-2,Deaths,0,0
Albania,2020-3-2,Recovered,0,0
Albania,2020-3-3,Confirmed,0,0
Albania,2020-3-3,Deaths,0,0
Albania,2020-3-3,Recovered,0,0
Albania,2020-3-4,Confirmed,0,0
Albania,2020-3-4,Deaths,0,0
Albania,2020-3-4,Recovered,0,0
Albania,2020-3-5,Confirmed,0,0
Albania,2020-3-5,Deaths,0,0
Albania,2020-3-5,Recovered,0,0
Albania,2020-3-6,Confirmed,0,0
Albania,2020-3-6,Deaths,0,0
Albania,2020-3-6,Recovered,0,0
Albania,2020-3-7,Confirmed,0,0
Albania,2020-3-7,Deaths,0,0
Albania,2020-3-7,Recovered,0,0
Albania,2020-3-8,Confirmed,0,0
Albania,2020-3-8,Deaths,0,0
Albania,2020-3-8,Recovered,0,0
Albania,2020-3-9,Confirmed,2,2
Albania,2020-3-9,Deaths,0,0
Albania,2020-3-9,Recovered,0,0
Albania,2020-3-10,Confirmed,8,10
Albania,2020-3-10,Deaths,0,0
Albania,2020-3-10,Recovered,0,0
Albania,2020-3-11,Confirmed,2,12
Albania,2020-3-11,Deaths,1,1
Albania,2020-3-11,Recovered,0,0
Albania,2020-3-12,Confirmed,11,23
Albania,2020-3-12,Deaths,0,1
Albania,2020-3-12,Recovered,0,0
Albania,2020-3-13,Confirmed,10,33
Albania,2020-3-13,Deaths,0,1
Albania,2020-3-13,Recovered,0,0
Albania,2020-3-14,Confirmed,5,38
Albania,2020-3-14,Deaths,0,1
Albania,2020-3-14,Recovered,0,0
Albania,2020-3-15,Confirmed,4,42
Albania,2020-3-15,Deaths,0,1
Albania,2020-3-15,Recovered,0,0
Albania,2020-3-16,Confirmed,9,51
Albania,2020-3-16,Deaths,0,1
Albania,2020-3-16,Recovered,0,0
Albania,2020-3-17,Confirmed,4,55
Albania,2020-3-17,Deaths,0,1
Albania,2020-3-17,Recovered,0,0
Albania,2020-3-18,Confirmed,4,59
Albania,2020-3-18,Deaths,1,2
Albania,2020-3-18,Recovered,0,0
Albania,2020-3-19,Confirmed,5,64
Albania,2020-3-19,Deaths,0,2
Albania,2020-3-19,Recovered,0,0
Albania,2020-3-20,Confirmed,6,70
Albania,2020-3-20,Deaths,0,2
Albania,2020-3-20,Recovered,0,0
Albania,2020-3-21,Confirmed,6,76
Albania,2020-3-21,Deaths,0,2
Albania,2020-3-21,Recovered,2,2
Albania,2020-3-22,Confirmed,13,89
Albania,2020-3-22,Deaths,0,2
Albania,2020-3-22,Recovered,0,2
Albania,2020-3-23,Confirmed,15,104
Albania,2020-3-23,Deaths,2,4
Albania,2020-3-23,Recovered,0,2
Albania,2020-3-24,Confirmed,19,123
Albania,2020-3-24,Deaths,1,5
Albania,2020-3-24,Recovered,8,10
Albania,2020-3-25,Confirmed,23,146
Albania,2020-3-25,Deaths,0,5
Albania,2020-3-25,Recovered,7,17
Albania,2020-3-26,Confirmed,28,174
Albania,2020-3-26,Deaths,1,6
Albania,2020-3-26,Recovered,0,17
Albania,2020-3-27,Confirmed,12,186
Albania,2020-3-27,Deaths,2,8
Albania,2020-3-27,Recovered,14,31
Albania,2020-3-28,Confirmed,11,197
Albania,2020-3-28,Deaths,2,10
Albania,2020-3-28,Recovered,0,31
Albania,2020-3-29,Confirmed,15,212
Albania,2020-3-29,Deaths,0,10
Albania,2020-3-29,Recovered,2,33
Albania,2020-3-30,Confirmed,11,223
Albania,2020-3-30,Deaths,1,11
Albania,2020-3-30,Recovered,11,44
Albania,2020-3-31,Confirmed,20,243
Albania,2020-3-31,Deaths,4,15
Albania,2020-3-31,Recovered,8,52
Albania,2020-4-1,Confirmed,16,259
Albania,2020-4-1,Deaths,0,15
Albania,2020-4-1,Recovered,15,67
Albania,2020-4-2,Confirmed,18,277
Albania,2020-4-2,Deaths,1,16
Albania,2020-4-2,Recovered,9,76
Albania,2020-4-3,Confirmed,27,304
Albania,2020-4-3,Deaths,1,17
Albania,2020-4-3,Recovered,13,89
Albania,2020-4-4,Confirmed,29,333
Albania,2020-4-4,Deaths,3,20
Albania,2020-4-4,Recovered,10,99
Albania,2020-4-5,Confirmed,28,361
Albania,2020-4-5,Deaths,0,20
Albania,2020-4-5,Recovered,5,104
Albania,2020-4-6,Confirmed,16,377
Albania,2020-4-6,Deaths,1,21
Albania,2020-4-6,Recovered,12,116
Albania,2020-4-7,Confirmed,6,383
Albania,2020-4-7,Deaths,1,22
Albania,2020-4-7,Recovered,15,131
Albania,2020-4-8,Confirmed,17,400
Albania,2020-4-8,Deaths,0,22
Albania,2020-4-8,Recovered,23,154
Albania,2020-4-9,Confirmed,9,409
Albania,2020-4-9,Deaths,1,23
Albania,2020-4-9,Recovered,11,165
Albania,2020-4-10,Confirmed,7,416
Albania,2020-4-10,Deaths,0,23
Albania,2020-4-10,Recovered,17,182
Albania,2020-4-11,Confirmed,17,433
Albania,2020-4-11,Deaths,0,23
Albania,2020-4-11,Recovered,15,197
Albania,2020-4-12,Confirmed,13,446
Albania,2020-4-12,Deaths,0,23
Albania,2020-4-12,Recovered,20,217
Albania,2020-4-13,Confirmed,21,467
Albania,2020-4-13,Deaths,0,23
Albania,2020-4-13,Recovered,15,232
Albania,2020-4-14,Confirmed,8,475
Albania,2020-4-14,Deaths,1,24
Albania,2020-4-14,Recovered,16,248
Algeria,2020-1-22,Confirmed,0,0
Algeria,2020-1-22,Deaths,0,0
Algeria,2020-1-22,Recovered,0,0
Algeria,2020-1-23,Confirmed,0,0
Algeria,2020-1-23,Deaths,0,0
Algeria,2020-1-23,Recovered,0,0
Algeria,2020-1-24,Confirmed,0,0
Algeria,2020-1-24,Deaths,0,0
Algeria,2020-1-24,Recovered,0,0
Algeria,2020-1-25,Confirmed,0,0
Algeria,2020-1-25,Deaths,0,0
Algeria,2020-1-25,Recovered,0,0
Algeria,2020-1-26,Confirmed,0,0
Algeria,2020-1-26,Deaths,0,0
Algeria,2020-1-26,Recovered,0,0
Algeria,2020-1-27,Confirmed,0,0
Algeria,2020-1-27,Deaths,0,0
Algeria,2020-1-27,Recovered,0,0
Algeria,2020-1-28,Confirmed,0,0
Algeria,2020-1-28,Deaths,0,0
Algeria,2020-1-28,Recovered,0,0
Algeria,2020-1-29,Confirmed,0,0
Algeria,2020-1-29,Deaths,0,0
Algeria,2020-1-29,Recovered,0,0
Algeria,2020-1-30,Confirmed,0,0
Algeria,2020-1-30,Deaths,0,0
Algeria,2020-1-30,Recovered,0,0
Algeria,2020-1-31,Confirmed,0,0
Algeria,2020-1-31,Deaths,0,0
Algeria,2020-1-31,Recovered,0,0
Algeria,2020-2-1,Confirmed,0,0
Algeria,2020-2-1,Deaths,0,0
Algeria,2020-2-1,Recovered,0,0
Algeria,2020-2-2,Confirmed,0,0
Algeria,2020-2-2,Deaths,0,0
Algeria,2020-2-2,Recovered,0,0
Algeria,2020-2-3,Confirmed,0,0
Algeria,2020-2-3,Deaths,0,0
Algeria,2020-2-3,Recovered,0,0
Algeria,2020-2-4,Confirmed,0,0
Algeria,2020-2-4,Deaths,0,0
Algeria,2020-2-4,Recovered,0,0
Algeria,2020-2-5,Confirmed,0,0
Algeria,2020-2-5,Deaths,0,0
Algeria,2020-2-5,Recovered,0,0
Algeria,2020-2-6,Confirmed,0,0
Algeria,2020-2-6,Deaths,0,0
Algeria,2020-2-6,Recovered,0,0
Algeria,2020-2-7,Confirmed,0,0
Algeria,2020-2-7,Deaths,0,0
Algeria,2020-2-7,Recovered,0,0
Algeria,2020-2-8,Confirmed,0,0
Algeria,2020-2-8,Deaths,0,0
Algeria,2020-2-8,Recovered,0,0
Algeria,2020-2-9,Confirmed,0,0
Algeria,2020-2-9,Deaths,0,0
Algeria,2020-2-9,Recovered,0,0
Algeria,2020-2-10,Confirmed,0,0
Algeria,2020-2-10,Deaths,0,0
Algeria,2020-2-10,Recovered,0,0
Algeria,2020-2-11,Confirmed,0,0
Algeria,2020-2-11,Deaths,0,0
Algeria,2020-2-11,Recovered,0,0
Algeria,2020-2-12,Confirmed,0,0
Algeria,2020-2-12,Deaths,0,0
Algeria,2020-2-12,Recovered,0,0
Algeria,2020-2-13,Confirmed,0,0
Algeria,2020-2-13,Deaths,0,0
Algeria,2020-2-13,Recovered,0,0
Algeria,2020-2-14,Confirmed,0,0
Algeria,2020-2-14,Deaths,0,0
Algeria,2020-2-14,Recovered,0,0
Algeria,2020-2-15,Confirmed,0,0
Algeria,2020-2-15,Deaths,0,0
Algeria,2020-2-15,Recovered,0,0
Algeria,2020-2-16,Confirmed,0,0
Algeria,2020-2-16,Deaths,0,0
Algeria,2020-2-16,Recovered,0,0
Algeria,2020-2-17,Confirmed,0,0
Algeria,2020-2-17,Deaths,0,0
Algeria,2020-2-17,Recovered,0,0
Algeria,2020-2-18,Confirmed,0,0
Algeria,2020-2-18,Deaths,0,0
Algeria,2020-2-18,Recovered,0,0
Algeria,2020-2-19,Confirmed,0,0
Algeria,2020-2-19,Deaths,0,0
Algeria,2020-2-19,Recovered,0,0
Algeria,2020-2-20,Confirmed,0,0
Algeria,2020-2-20,Deaths,0,0
Algeria,2020-2-20,Recovered,0,0
Algeria,2020-2-21,Confirmed,0,0
Algeria,2020-2-21,Deaths,0,0
Algeria,2020-2-21,Recovered,0,0
Algeria,2020-2-22,Confirmed,0,0
Algeria,2020-2-22,Deaths,0,0
Algeria,2020-2-22,Recovered,0,0
Algeria,2020-2-23,Confirmed,0,0
Algeria,2020-2-23,Deaths,0,0
Algeria,2020-2-23,Recovered,0,0
Algeria,2020-2-24,Confirmed,0,0
Algeria,2020-2-24,Deaths,0,0
Algeria,2020-2-24,Recovered,0,0
Algeria,2020-2-25,Confirmed,1,1
Algeria,2020-2-25,Deaths,0,0
Algeria,2020-2-25,Recovered,0,0
Algeria,2020-2-26,Confirmed,0,1
Algeria,2020-2-26,Deaths,0,0
Algeria,2020-2-26,Recovered,0,0
Algeria,2020-2-27,Confirmed,0,1
Algeria,2020-2-27,Deaths,0,0
Algeria,2020-2-27,Recovered,0,0
Algeria,2020-2-28,Confirmed,0,1
Algeria,2020-2-28,Deaths,0,0
Algeria,2020-2-28,Recovered,0,0
Algeria,2020-2-29,Confirmed,0,1
Algeria,2020-2-29,Deaths,0,0
Algeria,2020-2-29,Recovered,0,0
Algeria,2020-3-1,Confirmed,0,1
Algeria,2020-3-1,Deaths,0,0
Algeria,2020-3-1,Recovered,0,0
Algeria,2020-3-2,Confirmed,2,3
Algeria,2020-3-2,Deaths,0,0
Algeria,2020-3-2,Recovered,0,0
Algeria,2020-3-3,Confirmed,2,5
Algeria,2020-3-3,Deaths,0,0
Algeria,2020-3-3,Recovered,0,0
Algeria,2020-3-4,Confirmed,7,12
Algeria,2020-3-4,Deaths,0,0
Algeria,2020-3-4,Recovered,0,0
Algeria,2020-3-5,Confirmed,0,12
Algeria,2020-3-5,Deaths,0,0
Algeria,2020-3-5,Recovered,0,0
Algeria,2020-3-6,Confirmed,5,17
Algeria,2020-3-6,Deaths,0,0
Algeria,2020-3-6,Recovered,0,0
Algeria,2020-3-7,Confirmed,0,17
